Species	SISRS	Common
Acanthisitta chloris	AcaChl	Rifleman
Anas platyrhynchos	AnaPla	Mallard
Antrostomus carolinensis	AntCar	Chuck-will's-widow
Apaloderma vittatum	ApaVit	Bar-tailed trogon
Aptenodytes forsteri	AptFor	Emperor Penguin
Balearica regulorum	BalReg	Grey Crowned Crane
Buceros rhinoceros	BucRhi	Rhinoceros Hornbill
Calypte anna	CalAnn	Anna's Hummingbird
Cariama cristata	CarCri	Red-legged Seriema
Cathartes aura	CatAur	Turkey Vulture
Chaetura pelagica	ChaPel	Chimney Swift
Charadrius vociferus	ChaVoc	Killdeer
Chlamydotis macqueenii	ChlMac	MacQueen's Bustard
Columba livia	ColLiv	Rock Dove
Colius striatus	ColStr	Speckled Mousebird
Corvus brachyrhynchos	CorBra	American Crow
Cuculus canorus	CucCan	Common Cuckoo
Egretta garzetta	EgrGar	Little Egret
Eurypyga helias	EurHel	Sunbittern
Falco peregrinus	FalPer	Peregrine Falcon
Fulmarus glacialis	FulGla	Northern Fulmar
Gallus gallus	GalGal	Red Junglefowl
Gavia stellata	GavSte	Red-throated Loon 
Geospiza fortis	GeoFor	Medium Ground Finch
Haliaeetus albicilla	HalAlb	White-tailed Eagle
Haliaeetus leucocephalus	HalLeu	Bald Eagle
Leptosomus discolor	LepDis	Cuckoo Roller
Manacus vitellinus	ManVit	Golden-collared Manakin
Meleagris gallopavo	MelGal	Wild Turkey
Melopsittacus undulatus	MelUnd	Budgerigar
Merops nubicus	MerNub	Northern Carmine Bee-eater
Mesitornis unicolor	MesUni	Brown Mesite
Nestor notabilis	NesNot	Kea
Nipponia nippon	NipNip	Crested Ibis
Opisthocomus hoazin	OpiHoa	Hoatzin
Pelecanus crispus	PelCri	Dalmatian Pelican
Phalacrocorax carbo	PhaCar	Great Cormorant
Phaethon lepturus	PhaLep	White-tailed Tropicbird
Phoenicopterus ruber	PhoRub	American Flamingo
Picoides pubescens	PicPub	Downy Woodpecker
Podiceps cristatus	PodCri	Great Crested Grebe
Pterocles gutturalis	PteGut	Yellow-throated Sandgrouse
Pygoscelis adeliae	PygAde	Adélie Penguin
Struthio camelus	StrCam	Common Ostrich
Taeniopygia guttata	TaeGut	Zebra Finch
Tauraco erythrolophus	TauEry	Red-crested Turaco
Tinamus guttatus	TinGut	White-throated Tinamou
Tyto alba	TytAlb	Barn Owl
